Token,Date,Chain,Price (USD),Amount,BUY/SELL
dogwifhat,2024-04-12 00:02:39.351905,Solana,0.3595242248241151,4380.593097509334,BUY
Shark Cat,2024-04-12 00:02:39.351905,Solana,0.45956091433388235,9231.777565864093,BUY
Costco Hot Dog,2024-04-12 00:02:39.351905,Solana,0.2694730890861613,9633.570028844051,BUY
Runestone,2024-04-12 00:02:39.351905,Solana,0.1623573562993016,5903.420866143555,BUY
dogwifhat,2024-04-12 00:02:40.351905,Solana,0.36058567492841986,5311.711059317242,BUY
Shark Cat,2024-04-12 00:02:40.351905,Solana,0.19981267566672023,5460.4787197128935,BUY
Costco Hot Dog,2024-04-12 00:02:40.351905,Solana,0.28882596144821243,8025.435295863153,SELL
Runestone,2024-04-12 00:02:40.351905,Solana,0.3394179478842823,8959.280811116358,SELL
dogwifhat,2024-04-12 00:02:41.351905,Solana,0.34627992453114326,1884.3034098819112,BUY
Shark Cat,2024-04-12 00:02:41.351905,Solana,0.2867327508838796,7888.109085398083,BUY
Costco Hot Dog,2024-04-12 00:02:41.351905,Solana,0.1004348867236119,8578.181368511936,SELL
Runestone,2024-04-12 00:02:41.351905,Solana,0.33494464548541136,9596.628347034422,BUY
dogwifhat,2024-04-12 00:02:42.351905,Solana,0.049440729376486026,5252.083309946979,BUY
Shark Cat,2024-04-12 00:02:42.351905,Solana,0.4234146053199543,1140.0329400901255,BUY
Costco Hot Dog,2024-04-12 00:02:42.351905,Solana,0.3774317752554235,2303.077473345686,SELL
Runestone,2024-04-12 00:02:42.351905,Solana,0.2073337608536454,9992.229984163261,BUY
dogwifhat,2024-04-12 00:02:43.351905,Solana,0.02203747064522049,1777.5037734130606,SELL
Shark Cat,2024-04-12 00:02:43.351905,Solana,0.3343474477111863,6580.648145912589,BUY
Costco Hot Dog,2024-04-12 00:02:43.351905,Solana,0.19817960882055868,4723.209724786377,SELL
Runestone,2024-04-12 00:02:43.351905,Solana,0.22574966061605917,792.2504660524432,SELL
dogwifhat,2024-04-12 00:02:44.351905,Solana,0.3264441730040938,5036.462946842367,BUY
Shark Cat,2024-04-12 00:02:44.351905,Solana,0.2816180131152462,3267.806814883669,BUY
Costco Hot Dog,2024-04-12 00:02:44.351905,Solana,0.13116724709991368,7877.72799966208,SELL
Runestone,2024-04-12 00:02:44.351905,Solana,0.4999710683154625,7300.595900162777,SELL
dogwifhat,2024-04-12 00:02:45.351905,Solana,0.3768014889986212,3622.2469354914456,SELL
Shark Cat,2024-04-12 00:02:45.351905,Solana,0.12117725935397322,2224.0082481793856,BUY
Costco Hot Dog,2024-04-12 00:02:45.351905,Solana,0.2201643215452458,3097.774763141541,SELL
Runestone,2024-04-12 00:02:45.351905,Solana,0.4777221873419369,5968.663283721368,SELL
dogwifhat,2024-04-12 00:02:46.351905,Solana,0.08368053080564519,1357.539277653793,SELL
Shark Cat,2024-04-12 00:02:46.351905,Solana,0.011965741309173772,2927.874318571293,BUY
Costco Hot Dog,2024-04-12 00:02:46.351905,Solana,0.12700210109183957,6755.89547395292,BUY
Runestone,2024-04-12 00:02:46.351905,Solana,0.016633751692405496,9991.975357317815,SELL
dogwifhat,2024-04-12 00:02:47.351905,Solana,0.39337914384456973,4593.758621953001,BUY
Shark Cat,2024-04-12 00:02:47.351905,Solana,0.23759296389742424,7912.872303897043,BUY
Costco Hot Dog,2024-04-12 00:02:47.351905,Solana,0.12339523122004453,169.1226778845234,SELL
Runestone,2024-04-12 00:02:47.351905,Solana,0.030324586515240726,7275.624221978925,SELL
dogwifhat,2024-04-12 00:02:48.351905,Solana,0.48537640574569096,2154.1086572534864,SELL
Shark Cat,2024-04-12 00:02:48.351905,Solana,0.44660240648390137,6415.865735435321,BUY
